subsidiary_id,order_id,order_timestamp,customer_id,region,country,city,channel,sku,category,qty,unit_price,discount_pct,coupon_code,total_amount,order_date,order_status,shipping_cost
SUB001,ORD-000158,1930-12-31 23:59:00,CUST-6434,Asia Pacific,Australia,Melbourne,Mobile App,SPT-002,Sports,15,58.16,14.46,,746.25,1930-12-31,shipped,10.71
SUB001,ORD-000159,2025-01-14 04:54:00,CUST-9450,Europe,Germany,Berlin,Mobile App,SPT-002,Sports,19,50.89,120.0,DISCOUNT15,193.38,2025-01-15,shipped,5.19
SUB001,ORD-000160,2025-03-11 03:44:00,,Asia Pacific,South Korea,Seoul,Mobile App,HOME-002,Home & Garden,12,25.4,6.74,,126.12,2025-03-12,confirmed,8.25
SUB001,ORD-000161,2025-09-13 18:52:00,CUST-6929,Asia Pacific,Australia,Sydney,Mobile App,SPT-005,Sports,21,94.22,0.14,SAVE10,999999.99,2025-09-14,shipped,13.02
SUB001,ORD-000162,2024-11-11 16:57:00,CUST-9116,Europe,France,Lyon,Wholesale,BOOK-005,Books,8,51.89,3.19,DISCOUNT15,401.88,2024-11-12,confirmed,18.07
SUB001,ORD-000163,2025-03-01 19:31:00,,Asia Pacific,Singapore,Singapore,Wholesale,HOME-005,Home & Garden,39,43.63,14.04,SAVE10,1462.67,2025-03-02,pending,150.0
SUB001,ORD-000164,2023-01-01 10:30:00,CUST-7687,Asia Pacific,Australia,Sydney,Online,BOOK-004,Books,33,28.19,-10.73,,830.45,2023-01-01,cancelled,6.56
SUB001,ORD-000165,2025-03-13 19:28:00,CUST-7524,Asia Pacific,South Korea,Seoul,Retail,BOOK-004,Books,30,60.75,11.18,DISCOUNT15,150.75,2025-03-14,confirmed,21.17
SUB001,ORD-000166,2023-01-01 10:30:00,CUST-5259,Asia Pacific,Japan,Osaka,Wholesale,ELEC-002,Electronics,4,94.11,1.38,SAVE10,371.25,2023-01-01,cancelled,-5.0
SUB001,ORD-000167,2025-04-21 11:55:00,CUST-5971,Europe,Spain,Madrid,Retail,SPT-003,Sports,43,88.71,2.66,,3713.06,2025-04-22,delivered,22.39
SUB001,ORD-000168,2025-01-26 10:26:00,CUST-6544,North America,Mexico,Guadalajara,Retail,CLO-001,Clothing,15,32.28,6.92,,150.75,2025-01-27,confirmed,14.26
SUB001,ORD-000169,1930-12-31 23:59:00,CUST-5362,Asia Pacific,Japan,Tokyo,Mobile App,BOOK-001,Books,44,73.3,0.97,DISCOUNT15,3193.92,1930-12-31,pending,6.35
SUB001,ORD-000170,1930-12-31 23:59:00,CUST-6173,Europe,Spain,Madrid,Retail,ELEC-002,Electronics,50,70.53,6.41,,3300.45,1930-12-31,cancelled,9.68
SUB001,ORD-000171,2025-03-27 06:29:00,CUST-8122,Asia Pacific,Australia,Melbourne,Wholesale,HOME-001,Home & Garden,7,972.42,94.16,DISCOUNT15,397.53,2025-03-28,cancelled,17.52
SUB001,ORD-000172,2025-03-03 16:06:00,CUST-5472,Asia Pacific,Singapore,Singapore,Mobile App,CLO-003,Clothing,29,304.23,70.76,SAVE10,2579.75,2025-03-04,delivered,20.09
SUB001,ORD-000173,2025-09-21 09:06:00,CUST-5422,Asia Pacific,South Korea,Busan,Retail,SPT-002,Sports,48,37.5,72.46,,1282.26,2025-09-22,shipped,11.61
SUB001,ORD-000174,2025-05-14 14:02:00,CUST-5961,Europe,Spain,Valencia,Online,ELEC-002,Electronics,2,215.75,19.0,DISCOUNT15,349.51,2025-05-15,cancelled,14.59
SUB001,ORD-000175,2025-04-20 09:26:00,CUST-9073,Asia Pacific,South Korea,Seoul,Retail,SPT-002,Sports,84,362.46,26.16,WELCOME20,22481.8,2025-04-21,cancelled,20.51
SUB001,ORD-000176,2025-01-16 16:13:00,CUST-9744,Europe,UK,Birmingham,Mobile App,HOME-002,Home & Garden,19,21.14,55.33,WELCOME20,179.42,2025-01-17,shipped,13.28
SUB001,ORD-000177,2025-06-28 08:25:00,CUST-9018,Asia Pacific,South Korea,Busan,Retail,CLO-003,Clothing,84,943.74,33.76,SAVE10,52511.2,2025-06-29,pending,16.4
SUB001,ORD-000178,2025-01-27 03:57:00,CUST-5397,Europe,Germany,Hamburg,Wholesale,CLO-002,Clothing,68,38.65,84.67,DISCOUNT15,402.9,2025-01-28,cancelled,8.68
SUB001,ORD-000179,2025-04-23 22:21:00,CUST-8996,North America,Canada,Toronto,Retail,ELEC-002,Electronics,82,668.41,61.65,SAVE10,21019.49,2025-04-24,confirmed,150.0
SUB001,ORD-000180,2024-11-08 02:33:00,CUST-6974,North America,USA,Houston,Online,ELEC-005,Electronics,23,111.48,9.63,,2317.12,2024-11-09,shipped,5.34
SUB001,ORD-000181,2025-03-10 05:45:00,CUST-5259,North America,Mexico,Guadalajara,Wholesale,HOME-004,Home & Garden,90,229.73,68.4,,6533.52,2025-03-11,confirmed,24.19
SUB001,ORD-000182,2025-09-19 08:06:00,CUST-9326,North America,Canada,Vancouver,Mobile App,BOOK-004,Books,56,646.68,33.13,,24216.36,2025-09-20,confirmed,19.06
SUB001,ORD-000183,2025-01-16 02:58:00,CUST-9808,North America,USA,Los Angeles,Mobile App,HOME-001,Home & Garden,23,929.11,31.45,,14648.81,2025-01-17,confirmed,22.99
SUB001,ORD-000184,2025-04-15 02:03:00,CUST-5642,North America,Mexico,Guadalajara,Online,HOME-002,Home & Garden,70,335.07,75.56,,5732.38,2025-04-16,cancelled,16.33
