order_id,order_date,customer_id,sku,model,category,order_type,channel,quantity,unit_price,discount_code,discount_amount,total_amount,payment_method,order_status,city,region,ship_date,browser,os,session_id
ORD-W-000201,2024-04-05 15:40:00,CUST-00048,SKU-0028,Harry Potter Box Set,Books,WEB,instagram_shop,2,86.38,NEWUSER15,25.91,146.85,UPI,DELIVERED,Ahmedabad,West,2024-04-07,Safari,Windows 10,SESS-749498
ORD-W-000202,2024-01-05 15:08:00,CUST-00126,SKU-0023,Dyson V15,Home Appliances,WEB,own_website,1,566.65,,0.0,566.65,NETBANKING,DELIVERED,Ahmedabad,West,2024-01-09,Firefox,Windows 11,SESS-692862
ORD-W-000203,2024-04-22 09:02:00,CUST-00141,SKU-0049,Fish Tank 20G,Pet Supplies,WEB,own_website,1,78.75,NEWUSER15,11.81,66.94,COD,DELIVERED,Lucknow,North,2024-04-26,Opera,Windows 11,SESS-700534
ORD-W-000204,2024-10-05 11:34:00,CUST-00077,SKU-0018,Levi's 501 Jeans,Apparel,WEB,own_website,3,60.23,,0.0,180.69,CREDIT_CARD,DELIVERED,Pune,West,2024-10-07,Chrome,Windows 10,SESS-375581
ORD-W-000205,2024-08-12 03:49:00,CUST-00043,SKU-0006,MacBook Pro M3,Laptops,WEB,facebook_shop,3,2255.27,,0.0,6765.81,COD,CANCELLED,Lucknow,North,2024-08-16,Opera,macOS Ventura,SESS-922974
ORD-W-000206,2024-01-31 18:22:00,CUST-00069,SKU-0014,Bose QC45,Audio,WEB,google_shopping,2,328.74,NEWUSER15,98.62,558.86,UPI,SHIPPED,Hyderabad,South,2024-02-05,Opera,Windows 11,SESS-242175
ORD-W-000207,2024-05-21 20:08:00,CUST-00126,SKU-0004,OnePlus 12,Mobile Phones,WEB,instagram_shop,2,705.65,NEWUSER15,211.69,1199.61,EMI,DELIVERED,Chennai,South,2024-05-25,Firefox,macOS Sonoma,SESS-763121
ORD-W-000208,2024-07-31 12:28:00,CUST-00117,SKU-0041,Face Moisturizer SPF30,Beauty & Personal Care,WEB,facebook_shop,1,41.95,FESTIVE20,8.39,33.56,COD,DELIVERED,Hyderabad,South,2024-08-03,Edge,Ubuntu 22.04,SESS-710224
ORD-W-000209,2024-02-17 23:29:00,CUST-00055,SKU-0050,Pet Carrier Bag,Pet Supplies,WEB,own_website,2,56.34,FESTIVE20,22.54,90.14,DEBIT_CARD,DELIVERED,Pune,West,2024-02-21,Edge,Ubuntu 22.04,SESS-438548
ORD-W-000210,2024-10-07 18:08:00,,SKU-0022,Philips Air Fryer,Kitchen Appliances,WEB,facebook_shop,2,87.42,,0.0,174.84,CREDIT_CARD,CANCELLED,Mumbai,West,2024-10-08,Edge,Windows 11,SESS-230272
