subsidiary_id,order_id,order_timestamp,customer_id,region,country,city,channel,sku,category,qty,unit_price,discount_pct,coupon_code,total_amount,order_date
SUB001,ORD-000001,2024-04-20 21:23:00,CUST-1520,Asia Pacific,Japan,Tokyo,Wholesale,CLO-002,Clothing,18,737.78,67.67,SAVE10,4293.44,2024-04-21
SUB001,ORD-000002,2023-11-12 06:34:00,CUST-8359,North America,USA,Los Angeles,Retail,BOOK-005,Books,4,563.43,71.6,,640.06,2023-11-13
SUB001,ORD-000003,2024-11-20 20:55:00,CUST-2584,Asia Pacific,Singapore,Singapore,Retail,SPT-003,Sports,36,159.7,95.72,SAVE10,246.07,2024-11-21
SUB001,ORD-000004,2025-08-11 06:42:00,CUST-6925,Europe,France,Marseille,Wholesale,ELEC-004,Electronics,69,129.2,92.23,DISCOUNT15,692.68,2025-08-12
SUB001,ORD-000005,2025-07-19 11:43:00,CUST-6977,Asia Pacific,Australia,Brisbane,Online,ELEC-002,Electronics,99,292.94,7.98,SAVE10,2404.63,2025-07-20
SUB001,ORD-000006,2024-07-14 11:43:00,CUST-4598,North America,Canada,Vancouver,Retail,HOME-001,Home & Garden,78,636.8,53.41,DISCOUNT15,2523.63,2024-07-15
SUB001,ORD-000007,2024-12-12 17:19:00,CUST-7482,Asia Pacific,Singapore,Singapore,Retail,ELEC-003,Electronics,52,271.4,21.1,SAVE10,9434.8,2024-12-13
SUB001,ORD-000008,2024-03-12 11:37:00,CUST-3266,Asia Pacific,South Korea,Seoul,Wholesale,CLO-002,Clothing,96,563.56,26.27,,5887.4,2024-03-13
SUB001,ORD-000009,2024-02-28 21:36:00,CUST-8668,Asia Pacific,South Korea,Seoul,Online,ELEC-002,Electronics,81,164.18,68.05,SAVE10,4248.9,2024-02-29
SUB001,ORD-000010,2024-07-23 23:14:00,CUST-5315,Asia Pacific,Singapore,Singapore,Online,BOOK-003,Books,99,642.75,11.16,DISCOUNT15,4404.17,2024-07-24
SUB001,ORD-000011,2025-05-18 06:11:00,CUST-1009,Asia Pacific,Australia,Brisbane,Online,HOME-005,Home & Garden,78,202.91,37.39,WELCOME20,9909.27,2025-05-19
SUB001,ORD-000012,2024-03-29 21:55:00,CUST-8962,Asia Pacific,Singapore,Singapore,Online,ELEC-003,Electronics,40,243.25,24.09,DISCOUNT15,7386.04,2024-03-30
SUB001,ORD-000013,2024-08-23 17:01:00,CUST-4295,North America,Mexico,Mexico City,Retail,SPT-005,Sports,22,268.73,87.24,WELCOME20,754.38,2024-08-24
SUB001,ORD-000014,2024-11-18 23:23:00,CUST-4770,Asia Pacific,Singapore,Singapore,Wholesale,SPT-005,Sports,58,125.4,22.47,WELCOME20,5638.91,2024-11-19
SUB001,ORD-000015,2025-08-19 07:45:00,CUST-8953,Asia Pacific,Australia,Sydney,Online,ELEC-002,Electronics,9,905.88,85.96,,1144.67,2025-08-20
SUB001,ORD-000016,2024-08-15 12:33:00,CUST-8651,North America,Mexico,Mexico City,Mobile App,CLO-004,Clothing,53,194.46,9.69,SAVE10,9307.69,2024-08-16
SUB001,ORD-000017,2025-02-18 17:48:00,CUST-8350,Asia Pacific,Japan,Kyoto,Online,ELEC-004,Electronics,94,342.6,86.17,WELCOME20,4453.87,2025-02-19
SUB001,ORD-000018,2024-04-15 20:57:00,CUST-9856,North America,Canada,Toronto,Wholesale,SPT-002,Sports,10,445.91,86.13,DISCOUNT15,618.48,2024-04-16
