order_id,order_date,customer_id,sku,model,category,order_type,channel,quantity,unit_price,discount_amount,total_amount,payment_method,order_status,city,region,ship_date,browser,os,session_id
ORD-W-000001,2024-05-20 07:14:00,CUST-00056,SKU-0002,iPhone 15,Mobile Phones,WEB,own_website,1,962.31,192.46,769.85,CREDIT_CARD,DELIVERED,Mumbai,West,2024-05-21,Firefox,macOS Sonoma,SESS-731262
ORD-W-000002,2024-04-11 22:41:00,CUST-00179,SKU-0036,Whey Protein 5lb,Health & Fitness,WEB,own_website,2,57.29,0.0,114.58,EMI,DELIVERED,Mumbai,West,2024-04-13,Edge,Ubuntu 22.04,SESS-391369
ORD-W-000003,2024-06-21 03:05:00,CUST-00138,SKU-0014,Bose QC45,Audio,WEB,google_shopping,1,309.18,0.0,309.18,COD,DELIVERED,Mumbai,West,2024-06-25,Chrome,Windows 10,SESS-182627
ORD-W-000004,2024-11-17 19:56:00,CUST-00075,SKU-0019,Zara Trench Coat,Apparel,WEB,affiliate,3,119.32,71.59,286.37,EMI,PLACED,Chennai,South,,Chrome,macOS Ventura,SESS-205907
ORD-W-000005,2024-08-20 20:53:00,CUST-00137,SKU-0018,Levi's 501 Jeans,Apparel,WEB,instagram_shop,1,65.98,32.99,32.99,WALLET,DELIVERED,Delhi,North,2024-08-22,Firefox,macOS Ventura,SESS-584714
ORD-W-000006,2024-11-23 22:35:00,CUST-00103,SKU-0018,Levi's 501 Jeans,Apparel,WEB,instagram_shop,1,65.17,6.52,58.65,EMI,SHIPPED,Mumbai,West,2024-11-26,Safari,Windows 11,SESS-321231
ORD-W-000007,2024-06-10 06:41:00,CUST-00191,SKU-0046,Dog Food Premium 10kg,Pet Supplies,WEB,affiliate,1,91.05,0.0,91.05,DEBIT_CARD,CONFIRMED,Bangalore,South,,Opera,macOS Sonoma,SESS-375504
ORD-W-000008,2024-10-25 12:23:00,CUST-00029,SKU-0028,Harry Potter Box Set,Books,WEB,affiliate,1,87.95,0.0,87.95,EMI,CONFIRMED,Mumbai,West,,Firefox,macOS Ventura,SESS-930555
ORD-W-000009,2024-02-02 12:24:00,CUST-00175,SKU-0039,Resistance Bands Set,Health & Fitness,WEB,instagram_shop,2,27.08,13.54,40.62,COD,RETURNED,Mumbai,West,2024-02-03,Opera,Ubuntu 22.04,SESS-905934
ORD-W-000010,2024-05-30 13:10:00,CUST-00161,SKU-0008,HP Spectre x360,Laptops,WEB,facebook_shop,1,1740.44,435.11,1305.33,WALLET,RETURNED,Bangalore,South,2024-05-31,Safari,macOS Sonoma,SESS-738551
