subsidiary_id,order_id,order_timestamp,customer_id,region,country,city,channel,sku,category,qty,unit_price,discount_pct,coupon_code,total_amount,order_date
LMS,LMS_ORD_20251106_0001,2025-11-06T16:49:32Z,CUST_04293,NA,US,Seattle,online,SKU-2001,home,4,14.99,15,,50.97,2025-11-06
LMS,LMS_ORD_20251106_0002,2025-11-06T01:24:33Z,CUST_04936,EU,UK,London,mobile_app,SKU-5001,outdoor,3,9.99,10,,26.97,2025-11-06
LMS,LMS_ORD_20251106_0003,2025-11-06T21:11:14Z,CUST_02760,EU,DE,Berlin,marketplace,SKU-4001,electronics,1,14.99,5,,14.24,2025-11-06
LMS,LMS_ORD_20251106_0004,2025-11-06T14:32:19Z,CUST_03704,NA,US,Austin,marketplace,SKU-3001,fitness,2,49.99,0,,99.98,2025-11-06
LMS,LMS_ORD_20251106_0005,2025-11-06T00:48:13Z,CUST_02676,NA,US,Austin,marketplace,SKU-1001,apparel,4,49.99,0,,199.96,2025-11-06
LMS,LMS_ORD_20251106_0006,2025-11-06T12:54:22Z,CUST_04289,NA,US,Denver,mobile_app,SKU-1001,apparel,2,49.99,5,,94.98,2025-11-06
LMS,LMS_ORD_20251106_0007,2025-11-06T12:01:58Z,CUST_04111,NA,US,Denver,mobile_app,SKU-3001,fitness,1,14.99,0,,14.99,2025-11-06
LMS,LMS_ORD_20251106_0008,2025-11-06T00:06:47Z,CUST_01115,NA,US,Seattle,mobile_app,SKU-1001,apparel,1,14.99,10,,13.49,2025-11-06
LMS,LMS_ORD_20251106_0009,2025-11-06T13:03:11Z,CUST_00670,NA,US,Austin,mobile_app,SKU-2001,home,3,9.99,15,,25.47,2025-11-06
LMS,LMS_ORD_20251106_0010,2025-11-06T23:35:25Z,CUST_03716,EU,UK,London,online,SKU-1001,apparel,1,9.99,5,,9.49,2025-11-06
LMS,LMS_ORD_20251106_0011,2025-11-06T04:55:07Z,CUST_01261,EU,DE,Berlin,marketplace,SKU-5001,outdoor,1,9.99,15,,8.49,2025-11-06
LMS,LMS_ORD_20251106_0012,2025-11-06T17:53:13Z,CUST_02554,NA,US,Austin,mobile_app,SKU-2001,home,3,99.99,0,,299.97,2025-11-06
LMS,LMS_ORD_20251106_0013,2025-11-06T12:23:20Z,CUST_03719,EU,UK,London,online,SKU-1001,apparel,2,14.99,5,,28.48,2025-11-06
LMS,LMS_ORD_20251106_0014,2025-11-06T19:44:58Z,CUST_01994,NA,US,Austin,online,SKU-4001,electronics,5,9.99,10,,44.96,2025-11-06
LMS,LMS_ORD_20251106_0015,2025-11-06T23:31:19Z,CUST_00591,NA,US,Austin,mobile_app,SKU-4001,electronics,3,29.99,10,,80.97,2025-11-06
LMS,LMS_ORD_20251106_0016,2025-11-06T06:17:14Z,CUST_02331,EU,UK,London,online,SKU-3001,fitness,4,29.99,15,,101.97,2025-11-06
LMS,LMS_ORD_20251106_0017,2025-11-06T04:09:09Z,CUST_00187,NA,US,Austin,marketplace,SKU-3001,fitness,5,9.99,10,,44.96,2025-11-06
LMS,LMS_ORD_20251106_0018,2025-11-06T02:17:10Z,CUST_01408,NA,US,Seattle,mobile_app,SKU-4001,electronics,3,9.99,5,,28.47,2025-11-06
LMS,LMS_ORD_20251106_0019,2025-11-06T18:10:46Z,CUST_04132,NA,US,Denver,online,SKU-5001,outdoor,4,9.99,15,,33.97,2025-11-06
LMS,LMS_ORD_20251106_0020,2025-11-06T09:05:50Z,CUST_01267,EU,DE,Berlin,mobile_app,SKU-2001,home,3,9.99,10,,26.97,2025-11-06
LMS,LMS_ORD_20251106_0021,2025-11-06T08:20:05Z,CUST_00782,EU,DE,Berlin,online,SKU-4001,electronics,4,9.99,0,,39.96,2025-11-06
LMS,LMS_ORD_20251106_0022,2025-11-06T21:23:39Z,CUST_04445,EU,UK,London,mobile_app,SKU-2001,home,2,49.99,15,,84.98,2025-11-06
LMS,LMS_ORD_20251106_0023,2025-11-06T21:18:33Z,CUST_00505,EU,DE,Berlin,mobile_app,SKU-5001,outdoor,4,99.99,10,,359.96,2025-11-06
LMS,LMS_ORD_20251106_0024,2025-11-06T04:53:42Z,CUST_03078,NA,US,Austin,marketplace,SKU-5001,outdoor,5,99.99,5,,474.95,2025-11-06
LMS,LMS_ORD_20251106_0025,2025-11-06T02:33:19Z,CUST_04758,NA,US,Austin,online,SKU-2001,home,4,9.99,15,,33.97,2025-11-06
LMS,LMS_ORD_20251106_0026,2025-11-06T11:53:51Z,CUST_01174,NA,US,Austin,mobile_app,SKU-5001,outdoor,3,14.99,10,,40.47,2025-11-06
LMS,LMS_ORD_20251106_0027,2025-11-06T10:30:04Z,CUST_02478,NA,US,Seattle,marketplace,SKU-4001,electronics,4,9.99,15,,33.97,2025-11-06
LMS,LMS_ORD_20251106_0028,2025-11-06T05:39:18Z,CUST_02262,NA,US,Austin,online,SKU-2001,home,3,14.99,10,,40.47,2025-11-06
LMS,LMS_ORD_20251106_0029,2025-11-06T00:40:15Z,CUST_02886,NA,US,Austin,mobile_app,SKU-1001,apparel,5,99.99,10,,449.95,2025-11-06
LMS,LMS_ORD_20251106_0030,2025-11-06T19:06:13Z,CUST_01925,NA,US,Austin,mobile_app,SKU-5001,outdoor,1,14.99,10,,13.49,2025-11-06
LMS,LMS_ORD_20251106_0031,2025-11-06T16:41:40Z,CUST_03137,NA,US,Austin,mobile_app,SKU-3001,fitness,4,99.99,0,,399.96,2025-11-06
LMS,LMS_ORD_20251106_0032,2025-11-06T20:30:26Z,CUST_02877,EU,UK,London,online,SKU-5001,outdoor,5,49.99,15,,212.46,2025-11-06
LMS,LMS_ORD_20251106_0033,2025-11-06T10:29:57Z,CUST_00672,EU,UK,London,marketplace,SKU-3001,fitness,5,9.99,5,,47.45,2025-11-06
